Item,Specification,Price
"GLASS CAPILLARY TUBING","1 KG","1300.00"
"GLASS CAPILLARY TUBING BOROSIL","1 KG","1250.00"
"GLASS PRISM-EQUILATERAL/RIGHT ANGLE","SMALL","550.00"
"GLASS PRISM-EQUILATERAL/RIGHT ANGLE","LARGE","600.00"
"GLASS ROD FOR STATIC ELECTRICITY","","150.00"
"GLASS STIRRING ROD","ROD","80.00"
"GLASS STIRRING ROD","1 METRE","132.00"
"GLASS STIRRING ROD","1 KG","1200.00"
"GLASS TROUGH","150MM","750.00"
"GLASS TROUGH","180MM","850.00"
"GLASS TROUGH","300MM","1500.00"
"GLASS TUBING","1 METRE","132.00"
"GLASS TUBING","1 KG","1200.00"
"GLASS TUBINGBOROSIL 6MM/8MM/10MM/12MM/15MM/24MM","1 KG","1000.00"
"GLASS CUTTER DIAMOND PENCIL","","600.00"
"GLASS TUBING CUTTER FILE","","1250.00"
"GLASS TUBING CUTTER WHEEL TYPE","","740.00"
"GLOVES ACID PROOF","","300.00"
"GLOVES LATEX","PKT OF 100","1250.00"
"GOGGLES SAFETY","","300.00"
"GOLD LEAF ELECTROSCOPE","","930.00"
"GOLD LEAF ELECTROSCOPE","SPARE LEAF","250.00"
"HAND LENS","PLASTIC HANDLE","180.00"
"HAND LENS","METAL HANDLE","600.00"
"HAND STROBOSCOPE","","2500.00"
"HARES APPARATUS ON STAND","","1800.00"
"HOFFMAN CLIPS","","90.00"
"HOFFMAN VOLTMETER COMPLETE","","5500.00"
"HUMAN SKELETON","SMALL SIZE","4000.00"
"HUMAN SKELETON","FULL SIZE","13000.00"
"HYDRAULIC PRESS","","7800.00"
"HYDROMETER HEAVY/LIGHT LIQUIDS","","840.00"
"HYDROMETER SIMPLE BATTERY TESTER","","650.00"
"HYGROMETER WET & DRY","ENGLAND","3500.00"
"INCUBATOR ELECTRICAL","","40000.00"
"INDUCTION COIL","5MM","2835.00"
"INDUCTION COIL","10MM","3480.00"
"INSECT NEEDLE","PKT OF 100","250.00"
"INSECT NET WITH HANDLE","","550.00"
"JUG GRADUATED","1L PLASTIC","280.00"
"JUG GRADUATED","2L PLASTIC","550.00"
"KIPPS APPARATUS PLASTIC","500 ML","2355.00"
"KIPPS APPARATUS GLASS","500 ML","4600.00"
"KNIFE EDGE","","150.00"
"KNIFE SWITCH","SINGLE","200.00"
"KYMOGRAPH EQUIPMENT COMPLETE","","28000.00"
"LAB COAT","","1200.00"
"LABELS-SELF ADHESIVE","","60.00"
"LACTOMETER","","450.00"
"LECLANCHE CELL","","1800.00"
"LENS CLEANING TISSUE","PACKET","450.00"
"LENS HOLDER","WOODEN","120.00"
"LESLIE CUBES","","500.00"
"LIEBIG CONDENSER","","1300.00"
"LIFT PUMP","","800.00"
"LINEAR EXPANSION APPARATUS","","4430.00"
"LIQUID LEVEL","","1040.00"
"MAGDENBURG HEMISPHERE","","1420.00"
"MAGNET BAR PAIR WITH KEEPER","2”","500.00"
"MAGNET BAR PAIR WITH KEEPER","3”","580.00"
"MAGNET BAR PAIR WITH KEEPER","4”","650.00"
"MAGNET BAR PAIR WITH KEEPER","6”","900.00"
"MAGNET-CIRCULAR WITH HOLE","","900.00"
"MAGNET-ELECTRODE U SHAPE","","600.00"
"MAGNET-HORSE SHOE","","450.00"
"MAGNET-MAGNADEUR","","800.00"
"MAGNET-ROUND CYLINDRICAL","4”","600.00"
"MAGNET-U SHAPE","3”","450.00"
"MAGNET-U SHAPE HIGH POWER","4”","850.00"
"MAGNETIC COMPASS COMPLETE BOX","MAGNOMETER","1500.00"
"MAGNETIC NEEDLE ON STAND","","400.00"
"MAGNETIC NEEDLE ONLY","","210.00"
"MAGNETIC PLOTTING COMPASS","PLASTIC","180.00"
"MAGNETIC PLOTTING COMPASS","BRASS","180.00"
"MAGNETIC PLOTTING COMPASS","50MM","250.00"
"MAGNETIC PLOTTING COMPASS WITH LOCK","BRASS","600.00"
"MAGNETISING DEMAGNETISING COIL","","5400.00"
"MANOMETER ON STAND","","1400.00"
"MEASURING CYLINDER","10ML","350.00"
"MEASURING CYLINDER","50ML","450.00"
"MEASURING CYLINDER","100ML","530.00"
